measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible tuberculosis,Number,1991,66608577.3733,71319789.6256,62882130.6217
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Zika virus,Number,1991,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Guinea worm disease,Number,1991,26476.3308897,35118.1314349,18774.9829863
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1991,684519.972004,821734.94451,561524.523872
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1991,5.90753479868e-73,7.98962921195e-73,4.01462825216e-73
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible HIV/AIDS - Tuberculosis,Number,1991,5796077.8659,6976488.12789,4446527.77018
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance,Number,1991,45718.8748141,67989.1632256,28667.4738845
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant HIV/AIDS - Tuberculosis,Number,1991,7.51326616614e-73,9.66551828312e-73,5.17749799072e-73
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Latent tuberculosis infection,Number,1991,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Visceral leishmaniasis,Number,1994,1552532.4605,2417007.27083,925123.492925
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cutaneous and mucocutaneous leishmaniasis,Number,1994,150565.912787,242418.299656,85121.4415513
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Number,1994,1270143.40726,1985036.47491,767577.36392
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Number,1994,2205266.99088,3570684.45641,1382333.2623
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Number,1994,529338.934715,663576.682081,399111.129275
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Number,1994,299171.751607,371113.368773,231213.282008
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Number,1994,1733079.0825,3204433.73445,768939.426962
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Number,1994,1404688.96456,2207683.94574,786381.923825
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Number,1994,242423.002173,317372.836305,162672.081968
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Number,1994,883896.560545,1450828.91946,272374.592368
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Number,1994,531562.971074,1424039.24441,120187.738579
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Rabies,Number,1994,2749237.53053,3568640.85449,1911408.71413
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal nematode infections,Number,1994,5685572.29399,8556475.18237,3794741.86266
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ascariasis,Number,1994,3216401.58813,4651300.71715,2295491.61726
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trichuriasis,Number,1994,536472.431659,893512.341064,288721.116707
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hookworm disease,Number,1994,1932698.2742,2973944.8498,1196119.57971
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Food-borne trematodiases,Number,1994,1411691.84222,2582085.2621,697254.604208
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other neglected tropical diseases,Number,1994,3324640.58575,4393166.57152,2611825.89455
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Visceral leishmaniasis,Number,1991,2534031.99896,3956683.33177,1536112.8558
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cutaneous and mucocutaneous leishmaniasis,Number,1991,130208.595074,211993.200399,71936.660114
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Number,1991,924386.405104,1454831.40915,443845.97551
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Number,1991,2111054.96753,3378187.20068,1332776.97688
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Number,1991,496728.914565,621094.936486,374536.859524
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Number,1991,307482.934136,380957.748025,238841.10157
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Number,1991,1632728.08501,2997186.02891,728464.832831
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Number,1991,1414793.73359,2247129.05343,783139.431054
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Number,1991,231740.228001,302423.809873,156718.677667
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Number,1991,881861.442622,1406518.78661,314691.066494
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Number,1991,638658.545257,1702731.25674,147417.838786
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Rabies,Number,1991,2877293.57702,3741811.50534,1982653.55267
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal nematode infections,Number,1991,6837083.24233,10551539.4731,4529944.32891
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ascariasis,Number,1991,4148250.25253,6253029.94517,2853240.77426
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trichuriasis,Number,1991,623887.724959,1059044.68363,334650.738042
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hookworm disease,Number,1991,2064945.26485,3183719.53492,1286850.00615
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Food-borne trematodiases,Number,1991,1404514.42879,2710882.20872,639913.878157
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other neglected tropical diseases,Number,1991,3317035.35269,4384948.09822,2585878.34846
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Number,1992,16592705.2792,24315768.9491,10109161.2066
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Syphilis,Number,1992,14688960.0858,22673148.6012,8407590.22031
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chlamydial infection,Number,1992,442050.366683,676694.645637,276198.897929
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Gonococcal infection,Number,1992,479675.539406,622243.61125,355600.646487
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trichomoniasis,Number,1992,130728.371208,279317.441819,49922.1660994
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Genital herpes,Number,1992,138420.352094,294508.912482,48919.2278845
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other sexually transmitted diseases,Number,1992,712870.564019,1011744.58999,480935.617682
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Number,1992,8956620.12157,9553722.05971,8298979.77125
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Acute hepatitis A,Number,1992,1222142.15052,1429238.5536,1018262.13972
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis B,Number,1992,4688681.60083,5055944.54983,4269870.78878
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis C,Number,1992,91718.0486674,111506.828975,76279.0574796
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Acute hepatitis E,Number,1992,2953473.66167,3434321.59407,2539681.81994
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Number,1992,24056.827292,34738.8916677,16157.9182984
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Number,1992,6890338.77893,8991841.8714,4212204.20362
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS and tuberculosis,Number,1993,98742302.7112,104249675.7,94332850.2185
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tuberculosis,Number,1993,66384873.6332,70733758.1128,62852994.8816
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS,Number,1993,32354603.3726,35849990.1957,29817081.2656
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS resulting in other diseases,Number,1993,23629724.9776,27552801.5457,20520029.8413
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible HIV/AIDS - Tuberculosis,Number,1992,7112120.69405,8670954.41341,5430778.79617
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance,Number,1992,82228.0111273,120316.610506,51674.2556907
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant HIV/AIDS - Tuberculosis,Number,1992,1.14500931279e-54,1.48838146844e-54,7.55156748884e-55
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Latent tuberculosis infection,Number,1992,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Visceral leishmaniasis,Number,1993,2001337.58181,3092864.03138,1205970.58874
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cutaneous and mucocutaneous leishmaniasis,Number,1993,143475.879125,231418.145332,80185.9232221
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Number,1993,1085113.80696,1754429.06783,561207.368543
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Number,1993,2170217.1689,3515323.51973,1352462.48691
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Number,1993,518210.42165,646172.715091,394266.61473
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Number,1993,302537.051729,372858.660651,233159.111892
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Number,1993,1698582.03735,3117534.99358,758462.637531
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Number,1993,1406768.92845,2217952.76197,782513.650182
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Number,1993,237705.889649,310633.852927,159365.893472
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Number,1993,1202825.19242,1660232.97415,432246.49711
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Number,1993,542161.517008,1524104.03044,125410.649144
